make,mpg
hi,9.0
chevroelt,16.0
chrysler,17.266666666666666
chevy,18.0
amc,18.07037037037037
mercury,19.11818181818182
buick,19.18235294117647
ford,19.474999999999998
cadillac,19.75
pontiac,20.0125
chevrolet,20.472093023255812
oldsmobile,21.1
volvo,21.116666666666667
plymouth,21.703225806451613
dodge,22.060714285714287
toyouta,23.0
peugeot,23.6875
bmw,23.75
saab,23.9
mercedes,23.96666666666667
capri,25.0
opel,25.75
maxda,26.05
audi,26.714285714285715
toyota,28.372
fiat,28.9125
volkswagen,29.10666666666667
renault,29.666666666666668
vokswagen,29.8
subaru,30.525
mazda,30.860000000000003
datsun,31.11304347826087
honda,33.76153846153846
triumph,35.0
nissan,36.0
vw,39.016666666666666
